timestamp,feeder,load,loss
2024-01-01 00:00:00,Sukkur City Center,45.2,2.3
2024-01-01 01:00:00,Sukkur City Center,42.1,2.1
2024-01-01 02:00:00,Sukkur City Center,38.5,1.9
2024-01-01 03:00:00,Sukkur City Center,35.2,1.8
2024-01-01 04:00:00,Sukkur City Center,33.8,1.7
2024-01-01 05:00:00,Sukkur City Center,34.5,1.7
2024-01-01 06:00:00,Sukkur City Center,38.2,1.9
2024-01-01 07:00:00,Sukkur City Center,45.8,2.3
2024-01-01 08:00:00,Sukkur City Center,55.3,2.8
2024-01-01 09:00:00,Sukkur City Center,65.4,3.3
2024-01-01 10:00:00,Sukkur City Center,72.1,3.6
2024-01-01 11:00:00,Sukkur City Center,78.3,3.9
2024-01-01 12:00:00,Sukkur City Center,82.5,4.1
2024-01-01 13:00:00,Sukkur City Center,85.2,4.3
2024-01-01 14:00:00,Sukkur City Center,84.1,4.2
2024-01-01 15:00:00,Sukkur City Center,80.5,4.0
2024-01-01 16:00:00,Sukkur City Center,75.3,3.8
2024-01-01 17:00:00,Sukkur City Center,72.8,3.6
2024-01-01 18:00:00,Sukkur City Center,78.5,3.9
2024-01-01 19:00:00,Sukkur City Center,85.2,4.3
2024-01-01 20:00:00,Sukkur City Center,88.5,4.4
2024-01-01 21:00:00,Sukkur City Center,85.3,4.3
2024-01-01 22:00:00,Sukkur City Center,75.2,3.8
2024-01-01 23:00:00,Sukkur City Center,58.5,2.9
