timestamp,feeder,load,loss,temperature,humidity
2024-01-01 00:00:00,Sukkur City Center,42.3,2.1,12.5,65
2024-01-01 01:00:00,Sukkur City Center,38.7,1.9,11.8,68
2024-01-01 02:00:00,Sukkur City Center,35.2,1.8,11.2,70
2024-01-01 03:00:00,Sukkur City Center,32.8,1.6,10.5,72
2024-01-01 04:00:00,Sukkur City Center,31.5,1.6,10.0,74
2024-01-01 05:00:00,Sukkur City Center,33.2,1.7,10.2,73
2024-01-01 06:00:00,Sukkur City Center,38.5,1.9,11.0,70
2024-01-01 07:00:00,Sukkur City Center,48.2,2.4,12.5,65
2024-01-01 08:00:00,Sukkur City Center,62.5,3.1,14.2,60
2024-01-01 09:00:00,Sukkur City Center,75.3,3.8,16.5,55
2024-01-01 10:00:00,Sukkur City Center,82.1,4.1,18.8,50
2024-01-01 11:00:00,Sukkur City Center,86.5,4.3,20.5,45
2024-01-01 12:00:00,Sukkur City Center,89.2,4.5,22.0,42
2024-01-01 13:00:00,Sukkur City Center,91.5,4.6,23.5,40
2024-01-01 14:00:00,Sukkur City Center,90.8,4.5,24.0,38
2024-01-01 15:00:00,Sukkur City Center,87.3,4.4,23.8,40
2024-01-01 16:00:00,Sukkur City Center,82.5,4.1,22.5,45
2024-01-01 17:00:00,Sukkur City Center,78.2,3.9,20.5,50
2024-01-01 18:00:00,Sukkur City Center,85.5,4.3,18.5,55
2024-01-01 19:00:00,Sukkur City Center,92.3,4.6,16.5,60
2024-01-01 20:00:00,Sukkur City Center,88.5,4.4,15.2,62
2024-01-01 21:00:00,Sukkur City Center,79.2,4.0,14.0,65
2024-01-01 22:00:00,Sukkur City Center,65.3,3.3,13.0,68
2024-01-01 23:00:00,Sukkur City Center,48.5,2.4,12.5,70
