timestamp,feeder,load,loss,voltage,current,power_factor,temperature,humidity
2024-01-01 00:00:00,Civil Hospital Feeder,5.02,0.351,10.86,266.84,0.84,14.7,76.4
2024-01-01 00:00:00,Airport Road Feeder,7.25,0.595,11.19,374.14,0.928,13.8,68.0
2024-01-01 00:00:00,Rohri Industrial Feeder,9.67,1.281,10.97,508.81,0.858,13.2,66.1
2024-01-01 00:00:00,SITE Area Feeder,8.141,0.889,10.95,429.39,0.879,13.7,72.5
2024-01-01 00:00:00,Military Road Feeder,6.938,0.587,11.04,362.72,0.842,15.8,67.7
2024-01-01 00:00:00,Barrage Colony Feeder,5.237,0.777,10.98,275.45,0.836,13.9,70.1
2024-01-01 00:00:00,Shikarpur Road Feeder,3.88,0.568,10.92,205.07,0.888,15.8,64.8
2024-01-01 00:00:00,Old Sukkur Residential Feeder,3.454,0.611,11.11,179.48,0.942,15.4,73.6
2024-01-01 01:00:00,Civil Hospital Feeder,4.38,0.357,10.94,231.12,0.857,11.8,65.6
2024-01-01 01:00:00,Airport Road Feeder,6.87,1.101,10.83,366.26,0.948,13.6,72.6
2024-01-01 01:00:00,Rohri Industrial Feeder,11.112,1.746,10.83,592.42,0.867,16.9,64.1
2024-01-01 01:00:00,SITE Area Feeder,8.691,0.751,10.92,459.31,0.862,16.6,75.5
2024-01-01 01:00:00,Military Road Feeder,5.622,0.517,11.09,292.81,0.919,17.0,76.1
2024-01-01 01:00:00,Barrage Colony Feeder,5.536,0.716,11.01,290.31,0.876,15.2,68.9
2024-01-01 01:00:00,Shikarpur Road Feeder,3.993,0.682,10.9,211.49,0.873,11.0,67.0
2024-01-01 01:00:00,Old Sukkur Residential Feeder,3.618,0.317,10.92,191.35,0.841,16.8,71.4
2024-01-01 02:00:00,Civil Hospital Feeder,4.584,0.307,11.12,237.95,0.936,16.0,67.3
2024-01-01 02:00:00,Airport Road Feeder,6.593,0.678,10.97,346.96,0.926,9.7,71.5
2024-01-01 02:00:00,Rohri Industrial Feeder,9.828,1.118,11.18,507.68,0.862,14.4,77.7
2024-01-01 02:00:00,SITE Area Feeder,8.043,0.936,11.19,415.05,0.945,15.0,63.4
2024-01-01 02:00:00,Military Road Feeder,5.122,0.429,11.04,267.75,0.885,13.0,69.3
2024-01-01 02:00:00,Barrage Colony Feeder,5.518,0.521,11.0,289.75,0.948,16.5,65.5
2024-01-01 02:00:00,Shikarpur Road Feeder,3.689,0.564,10.95,194.57,0.902,16.5,72.5
2024-01-01 02:00:00,Old Sukkur Residential Feeder,4.052,0.361,11.13,210.11,0.862,18.4,73.6
2024-01-01 03:00:00,Civil Hospital Feeder,4.813,0.348,10.87,255.65,0.91,14.3,72.6
2024-01-01 03:00:00,Airport Road Feeder,6.693,0.627,10.94,353.34,0.835,16.6,65.2
2024-01-01 03:00:00,Rohri Industrial Feeder,10.389,1.381,10.9,550.45,0.832,17.6,64.4
2024-01-01 03:00:00,SITE Area Feeder,8.755,1.006,11.09,455.76,0.937,15.5,71.5
2024-01-01 03:00:00,Military Road Feeder,5.318,0.511,11.16,275.13,0.899,15.5,70.8
2024-01-01 03:00:00,Barrage Colony Feeder,4.797,0.716,11.06,250.4,0.849,13.1,73.3
2024-01-01 03:00:00,Shikarpur Road Feeder,4.366,0.633,11.14,226.29,0.905,13.4,66.6
2024-01-01 03:00:00,Old Sukkur Residential Feeder,3.439,0.402,10.91,182.03,0.852,14.8,71.5
2024-01-01 04:00:00,Civil Hospital Feeder,4.927,0.321,11.03,257.87,0.884,16.7,72.6
2024-01-01 04:00:00,Airport Road Feeder,6.275,0.678,10.81,335.17,0.904,14.8,73.1
2024-01-01 04:00:00,Rohri Industrial Feeder,9.777,1.159,11.14,506.7,0.861,16.6,71.0
